"trick","obstacledetail","obstacle","cnt"
"fs 5050","up and down","flat rail",1
"fs 5050","up hubba","hubba",2
"fs 5050 to bs 180","curved rail","flat rail",1
"fs 5050 to bs 180 transfer","curved rail","flat rail",1
"fs 5050 to bs 360","outledge","ledge",1
"fs 5050 to bs 5050","curb to curb","curb",1
"fs 5050 to bs bigspin","plain jane","ledge",1
"fs 5050 to fs 5050","gap to ledge to ledge","ledge",1
"fs 5050 to fs shuv to nose manny to nollie","ledge to pad to stairs","ledge",1
"fs 5050 to ollie","ledge to gap","ledge",1
"fs 5050 to ollie","up rail to gap","handrail",1
"fs blunt stall to fs 180","street transition","transition",1
"fs blunt to bs noseblunt","plain jane","ledge",1
"fs blunt to kickflip","plain jane","handrail",1
"fs blunt to shuv","plain jane","handrail",1
"fs boardslide","plain jane","curb",1
"fs boardslide","plain jane","handrail",1
"fs boardslide to sw manny","chain to pad","pad",1
"fs crook","plain jane","ledge",1
"fs crook to fakie","plain jane","ledge",1
"fs feeble","plain jane","ledge",1
"fs heelflip","over can","gap",2
"fs kickflip","duck under pole","gap",1
"fs kickflip","over trash can","gap",1
"fs kickflip","plain jane","stairs",3
"fs kickflip","street transition","transition",1
"fs layup","plain jane","transition",1
"fs lipslide","bump to dumpster","ledge",1
"fs lipslide","curved ledge","ledge",1
"fs lipslide","gap to rail","flat rail",1
"fs lipslide","outledge","ledge",1
"fs lipslide","plain jane","handrail",2
"fs lipslide","plain jane","hubba",1
"fs lipslide to fakie","hubba to ledge","hubba",1
"fs lipslide to heelflip","plain jane","ledge",1
"fs noseblunt","curved ledge","ledge",1
"fs noseblunt","plain jane","ledge",1
"fs noseblunt to nollie fs shuv to sw bs crook to fakie","plain jane","ledge",1
"fs noseblunt to nollie kickflip","plain jane","ledge",1
"fs nosegrind","curved ledge","ledge",1
"fs nosegrind","plain jane","ledge",1
"fs nosegrind to nollie kickflip","into bank","ledge",1
"fs nosegrind transfer","out rail","flat rail",1
